episode,pnl_pct,timestamp
1,-23.8443927724294,2026-01-01T16:45:32.164465
2,109.12662380148011,2026-01-01T16:45:32.164465
3,336.5297381829196,2026-01-01T16:45:32.164465
4,334.8549714304869,2026-01-01T16:45:32.164465
5,608.4246974558798,2026-01-01T16:45:32.164465
6,660.2555383960912,2026-01-01T16:45:32.164465
7,703.5664848884187,2026-01-01T16:45:32.164465
8,839.0204497936535,2026-01-01T16:45:32.164465
9,673.9407527439407,2026-01-01T16:45:32.164465
10,1159.9156525785634,2026-01-01T16:45:32.164465
11,1112.7936506959227,2026-01-01T16:45:32.164465
12,1087.2890720917337,2026-01-01T16:45:32.164465
13,1276.4532585467523,2026-01-01T16:45:32.164465
14,1139.1286875923645,2026-01-01T16:45:32.164465
15,1319.8644661916371,2026-01-01T16:45:32.164465
