,Avg Return,Median Return,Avg Sharpe,Avg Max DD,Win Rate,Total Trades
RSI,-0.006361152072229759,0.0,-0.12386312378764612,-0.006669334039067299,0.0,2.0
Bollinger,0.05276358718341216,0.014155712841253831,0.2763821044257644,-0.041538075883816875,0.5,15.0
Combined,-0.005512462290086406,0.0,-0.03257800627765729,-0.008987482552469705,0.0,1.0
ML (RF),0.17009448782130782,0.12126648208731305,0.5558568223884592,-0.11752335000216844,0.9,231.0
LightGBM,0.20261991236400193,0.12776483401675676,0.746870855737558,-0.09484182123223493,0.8,157.0
